iteration,newton_mean,newton_std,gradient_mean,gradient_std,trust-constr_mean,trust-constr_std
0,0.6232069429593119,0.18436420822056593,0.6232069429593119,0.18436420822056593,0.5959981939933439,0.17811065826256742
1,0.7182105405574508,0.1461331898319722,0.7182105405574508,0.1461331898319722,0.6297732081407379,0.15993680284721637
2,0.7510009494948332,0.1310736563756141,0.7510009494948332,0.1310736563756141,0.692108877151701,0.1340182429652922
3,0.7667119732239518,0.12514533012891163,0.7665291471604981,0.12526124962382784,0.724703737268307,0.12012514738301693
4,0.7746185870398588,0.12211338783133711,0.7730255411130701,0.12259952169661016,0.7397552768103028,0.11932214288264158
5,0.7814679724446264,0.11839159824301351,0.7774432011096737,0.12058157554782989,0.7494135865919942,0.11696686378542025
6,0.7857311939630324,0.11580710765991481,0.780546757882484,0.1190625702581606,0.7555914094752463,0.1148173591294968
7,0.7872227040115612,0.1150710903856438,0.782162747027096,0.11801747596345352,0.7614438559038781,0.11268457963190351
8,0.7893806103809011,0.11378048846163448,0.7837698435267317,0.11743792919686649,0.7681733904159855,0.10896132545766933
9,0.7904382241237837,0.11346893886454221,0.7850784575550862,0.11684339055060808,0.771798977868877,0.10746300644404204
10,0.7907266065243113,0.11344852036627337,0.7858684475450027,0.11643696116250947,0.7751734319799477,0.10686911788935859
11,0.7909047743002167,0.11350831253358831,0.7865265940482421,0.11618280287922357,0.7777412937370356,0.10609060677704092
12,0.7910245383264702,0.11345677710398198,0.7870776224604599,0.11600029654903875,0.779657966152687,0.10602407885487579
13,0.7912716944314195,0.11329195025011497,0.787680046360193,0.11564989327627972,0.7814802861503398,0.10636144256399112
14,0.7913275259352907,0.11325547863596834,0.7880147854586333,0.11546341707659545,0.7832198584795477,0.1072455623544784
15,0.791389759894998,0.11321526024835163,0.788334410302807,0.11528110100684978,0.7850020423110553,0.10815497079683468
16,0.7914340173769767,0.11318704595042647,0.7886549510319179,0.11500422784815606,0.7863794140590886,0.10899942477596898
17,0.7914773222117506,0.11315975049524249,0.7889337924680591,0.11483408939428134,0.7875527143400186,0.10964393956048732
18,0.7915141725673551,0.11313676619833408,0.7891294879928408,0.11466548494762874,0.7881510405312633,0.10974344416555526
19,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
20,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
21,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
22,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
23,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
24,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
25,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
26,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
27,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
28,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
29,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
30,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
31,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
32,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
33,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
34,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
35,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
36,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
37,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
38,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
39,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
40,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
41,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
42,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
43,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
44,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
45,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
46,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
47,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
48,0.7915490545661672,0.11311521544699273,0.7893464536459772,0.11454232086559152,0.7881510405312633,0.10974344416555526
